"No.","Time","Source","Destination","Protocol","Length","Info"
"12533","30.535009","192.168.100.6","202.28.77.115","TCP","66","62701  >  4126 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12534","30.535277","192.168.100.6","202.28.77.115","TCP","66","62702  >  6669 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12535","30.535549","192.168.100.6","202.28.77.115","TCP","66","62703  >  16993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12536","30.535822","192.168.100.6","202.28.77.115","TCP","66","62704  >  5555 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12537","30.536090","192.168.100.6","202.28.77.115","TCP","66","62705  >  6346 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12538","30.536362","192.168.100.6","202.28.77.115","TCP","66","62706  >  6156 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12539","30.536661","192.168.100.6","202.28.77.115","TCP","66","62707  >  1000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12540","30.536939","192.168.100.6","202.28.77.115","TCP","66","62708  >  1043 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12541","30.537207","192.168.100.6","202.28.77.115","TCP","66","62709  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12542","30.537480","192.168.100.6","202.28.77.115","TCP","66","62710  >  111 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12550","30.562346","202.28.77.115","192.168.100.6","TCP","60","443  >  62690 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"12562","30.594214","192.168.100.6","202.28.77.115","TCP","66","62711  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12563","30.594514","192.168.100.6","202.28.77.115","TCP","66","62712  >  301 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12564","30.594794","192.168.100.6","202.28.77.115","TCP","66","62713  >  49400 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12565","30.595066","192.168.100.6","202.28.77.115","TCP","66","62714  >  1042 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12566","30.595355","192.168.100.6","202.28.77.115","TCP","66","62715  >  24800 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12567","30.595638","192.168.100.6","202.28.77.115","TCP","66","62716  >  340 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12568","30.595925","192.168.100.6","202.28.77.115","TCP","66","62717  >  880 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12569","30.596195","192.168.100.6","202.28.77.115","TCP","66","62718  >  11110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12570","30.596454","192.168.100.6","202.28.77.115","TCP","66","62719  >  5902 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12585","30.630487","192.168.100.6","202.28.77.115","TCP","66","62720  >  28201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12586","30.630837","192.168.100.6","202.28.77.115","TCP","66","62721  >  6006 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
